Kata,Bobot
stess,0
stm,0
stmpasti,0
stok,0
stop,0
stopbullying,0
stopbulying,0
storiku,0
story,0
straight,0
stres,0
strong,5
struggle,-5
studi,0
style,0
su,0
suami,0
suamianak,0
suaminya,0
suap,0
suara,0
suarabelom,0
suarakan,0
suaranya,0
suatu,0
subianto,0
sudah,2
Sudah besar,1
sudahlah,0
sudh,0
suditomo,0
sudutkan,0
suicide,-5
sujud,0
suka,0
sukaapalagi,0
sukanya,0
sukarela,0
sukses,0
suksesan,0
sukseshanya,0
sukurin,0
sukurinnnnnn,0
sulit,0
sulitkampungan,0
sulitnya,0
sultan,0
sultandi,0
sulut,0
sumbangan,0
sumbanganya,0
sumber,0
sumbernya,0
sumpah,0
sumpek,0
sumpit,0
sunan,0
sunankalijagash,0
sunanmantap,0
sunda,0
sundut,0
sungguh,0
sunut,0
supata,0
supaya,0
super,5
superhero,0
superior,5
supervisi,0
support,5
surabaya,0
suram,0
suramlah,0
surat,0
surprise,0
suruh,0
survive,0
susah,0
suwun,0
swasta,0
sweeter,0
swt,0
sy,0
sya,0
syaa,0
syang,0
syukur,0
syukurlah,0
syykurlah,0
t,0
ta,0
taburin,0
taek,0
taekkkkk,0
taekwondo,0
tag,0
tahan,0
tahanan,0
tahu,2
tahun,3
tahunpun,0
tahunterungkap,0
tai,0
taii,0
taik,0
tajam,0
tajiir,0
tajir,0
tak,0
takabur,0
takedown,0
takut,0
takutnya,0
talipenyelesaiannya,0
talking,0
talks,0
talkshow,0
tambah,0
tambahin,0
tambal,0
tamparin,0
tampilin,0
tampilkan,0
tampol,0
tampolin,0
tampuk,0
tanda,0
tandanya,0
tanding,0
tangkis,3
tangan,0
tangani,0
tanganku,0
tangannya,0
tangannyo,0
tangerang,0
tangga,0
tanggal,0
tanggap,0
tanggapan,0
tanggung,0
tanggungan,0
tanggunjawab,0
tangkaap,0
tangkap,0
tangkapppppp,0
tangkaptp,0
tangkep,0
tangkepnangis,0
tanpa,0
tantang,0
tantangan,0
tantrum,-5
tanya,0
tanyakan,0
tapi,1
tapiiiiipatternnya,0
taqwa,0
tar,0
taraf,0
tarakanita,0
target,0
tarik,0
tas,0
tata,0
tau,0
taun,0
taunya,0
tauu,0
tawarin,0
tawur,0
tawuran,0
tawuranjgn,0
tayangan,0
tb,0
td,0
tdk,0
tebal,0
tebel,0
tebusin,0
teesangka,0
tega,0
tegak,0
tegakan,0
tegakkan,0
tegas,0
tegaskan,0
tegastangkap,0
tegese,0
tegesin,0
tegor,0
teguran,0
teh,0
tekanan,0
tekor,0
teladan,0
telah,0
telak,0
telanjangi,0
telanjangin,0
telat,0
televisi,0
teliti,0
tema,0
teman,0
temannya,0
temanya,0
tembaga,0
tembak,0
temen,0
temenan,0
temennya,0
tempat,0
tempeleng,0
tempelke,0
tempo,0
tempuh,0
tempur,0
temurun,0
tenaga,0
tenang,0
tendang,0
tendangin,0
tendensius,0
tengah,0
tenggelam,0
tengil,0
tengok,0
tensi,0
tentang,0
tentara,0
tentu,0
tentunya,0
terakhir,0
teramat,0
terang,0
terapin,0
terapinya,0
terapkan,0
terasa,0
terbaik,0
terbanyak,0
terbaru,0
terbatas,0
terbayang,0
terbebas,0
terbeli,0
terbenahi,0
terbentuk,0
terbentur,0
terberak,-5
terbesar,0
terbiasa,0
terbitkelah,0
terbongkar,0
terbuka,0
terbukti,0
terburuburu,0
terburuk,0
tercantum,0
tercemar,0
tercinta,0
tercintanya,0
tercium,0
terdakwa,0
terdepan,0
terdidik,0
terduga,0
terencana,0
tereyuh,0
terfasilitas,0
tergantung,0
tergerus,0
tergolong,0
terhadap,0
terhdp,0
terhindar,0
terhormat,0
teri,0
teriak,0
terikat,0
terikut,0
terima,0
terimakasih,0
teringat,0
terjadi,0
terjaga,0
terjal,0
terjangke,0
terjd,0
terjerat,0
terjun,0
terkaget,0
terkahir,0
terkait,0
terkecuali,0
terkejut,0
terkenal,0
terkilir,0
terlahir,0
terlalu,0
terlaluuu,0
terlebih,0
terlepas,0
terlibat,0
terlihat,0
terlindungi,0
termasuk,0
termiskin,0
termksd,0
termsk,0
ternama,0
ternyata,0
teross,0
terpadu,0
terpampang,0
terpandang,0
terpandanglah,0
terpuji,0
terpujinya,0
tersabgka,0
tersandra,0
tersandung,0
tersangka,-2
tersangkanya,-3
tersebut,0
terselubung,0
tersentuh,0
terserah,0
tersiksajgn,0
tersimpan,0
tersirat,0
tersisa,0
tertanam,0
tertangkapi,0
tertentu,0
tertindas,0
tertipu,0
tertutup,0
tertypu,0
terulang,0
terulanglagi,0
terungkap,0
terus,0
terusbuat,0
terusjateng,0
terusmau,0
teruss,0
terusss,0
terutama,0
teryta,0
tes,0
test,0
tetangga,0
tetanggaan,0
tetanggaku,0
tetangkap,0
tetap,0
tetapi,0
tetaplah,0
tetep,0
teuing,0
tgjawab,0
tgl,0
tgpriok,0
th,0
thank,5
thanksyou,0
that,0
thats,0
thdp,0
the,0
then,0
therapi,0
therapy,0
theres,0
they,0
thibunya,0
thing,0
this,0
thn,0
thnan,0
thndi,0
tho,0
ti,0
tiap,0
tiba,0
tidak,-3
tidur,0
tiduran,0
tik,0
tikar,0
till,0
tim,0
timbul,0
time,0
timenya,0
timpukin,0
tindak,0
tindakan,0
tindakanan,0
tindakannya,0
ting,0
tinggal,0
tinggalin,0
tinggi,0
tingkah,0
tingkat,0
tinju,0
tipex,0
tipu,0
tipuan,0
tiriskan,0
tiru,0
tis,0
titik,0
titit,0
tkut,0
tlg,0
tllllll,0
tlol,0
tmennya,0
tmn,0
tmp,0
tnda,0
tngkep,0
tnijayaaa,0
tnp,0
tns,0
tntang,0
tntng,0
to,0
todak,0
toh,0
toilet,0
tok,0
tokgak,0
tokopedia,0
tokyo,0
tol,0
tolakdamai,0
tolakhasilpemilu,0
tole,0
tolelir,0
toleransi,0
toleransimembuatnya,0
tolerirbuliying,0
tolol,0
tolong,0
tolonglah,0
tombol,0
tong,0
tongkrongan,0
tongliat,0
tongpas,0
tonight,0
tonjok,0
tonjokinitu,0
tonton,0
tontonan,0
total,0
totally,0
tough,5
toxic,-5
tp,0
tpi,0
tpjaman,0
tq,0
tradisi,0
traffic,0
tragedi,0
tragis,0
trauma,-5
traumanya,0
traumaya,0
tri,0
triadiningsihh,0
trima,0
trjadinya,0
trrlalu,0
trs,0
trsan,0
trsgka,0
trully,0
trun,0
trus,0
trusss,0
trut,0
tsb,0
tsk,0
tskblm,0
tsuma,0
tsunami,0
ttg,0
ttp,0
ttup,0
tu,0
tua,3
tuan,0
tuanya,0
tuatemandan,0
tuch,0
tugas,0
tugasnya,0
tuh,0
tuhan,5
tuhh,0
tuhmekopolhukam,0
tujuan,0
tujuannya,0
tuk,0
tukang,0
tulang,0
tulisan,0
tuman,0
tumbal,0
tumbuh,0
tumpul,0
tunda,0
tunggu,0
tunjukan,0
tunjukkan,0
tuntas,0
tuntasin,0
tuntaskan,0
tuntut,0
tuntutan,0
tuonjuok,0
tupoksi,0
turun,0
turunan,0
turut,0
tusuk,0
tutup,0
tuwa,0
tv,0
tweeter,0
twiterr,0
twitter,0
typu,0
u,0
uang,4
uangkrn,0
uangnya,0
ubah,0
uban,0
ubann,0
ubunnya,0
ucap,0
ucapan,0
ucapkan,0
ud,0
uda,0
udah,2
udahhtar,0
udahin,0
udahlah,0
udang,0
udh,0
uenakk,0
ufc,0
ugalan,0
uinagama,0
ujian,0
ujo,0
ujung,0
ujungnya,0
uks,0
ulah,0
ulahmu,0
ulang,0
umbar,0
umek,0
umpan,0
umum,0
umumnya,0
umur,0
umurmasukan,0
umurnya,0
umurr,0
umurtrs,0
unacceptable,-5
unas,0
uncledone,0
undang,0
undangundang,0
understand,0
unggulan,0
ungkap,0
unicef,0
unicefindonesia,0
universitas,0
unsur,0
untuk,0
untung,0
untungnya,0
up,0
update,0
upgrade,0
upload,0
upsss,0
urat,0
urgent,-5
urung,0
urus,0
urusan,0
urusannya,0
urut,0
urutan,0
usah,0
usahakan,0
usahlah,0
usai,0
useddd,0
ush,0
usia,2
usianya,0
using,0
usir,0
usulan,0
usung,0
usut,0
usuut,0
utama,0
utamakan,0
utamanya,0
utang,0
utarakan,0
utk,0
utuh,0
uu,0
uud,0
v,0
vaksin,0
validasi,0
value,0
veranoy,0
verbal,0
via,0
vicent,0
victim,0
vid,0
video,0
videoin,0
videonya,0
videoo,0
vidio,0
vidioin,0
vidionya,0
vin,0
vincen,0
vincenet,0
vincent,0
vincentkompany,0
vincentpenasaran,0
vincentrompies,0
vincet,0
vindesig,0
vinnaaprilina,0
vinsen,0
viral,0
viralkan,0
virsyadvraa,0
visioner,0
visum,0
vladimir,0
vok,0
voltcyberv,0
vr,0
vrbaru,0
vs,0
vt,0
w,0
wa,0
waaaah,0
waahhhhh,0
wadas,0
waduh,0
waduhh,0
waduhhh,0
wae,0
wah,0
wahai,0
wahduhh,0
wahh,0
wahhh,0
wahhhh,0
wainnailaihi,0
wajaarrr,0
wajah,0
wajahnya,0
wajar,0
wajarlah,0
wajib,0
wak,0
wakanda,0
wake,0
wakil,0
wakilmu,0
wakilnya,0
wakilnyapembantunya,0
waktu,0
waktunya,0
walau,0
walaupun,0
wali,0
walikeasnulya,0
walk,0
wan,0
wangi,0
wanita,0
wanitaberkata,0
wannabe,0
want,0
wapres,0
wapresnya,0
war,0
waras,0
warbiasaaa,0
warga,0
warna,0
warning,-5
warung,0
warungnya,0
was,0
waskat,0
wassalam,0
watak,0
watu,0
wawan,0
we,0
wedehh,0
wedook,0
wei,0
weird,-5
weis,0
weitzzz,0
welcome,5
well,5
were,0
wes,0
weve,0
weweswes,0
whaaattt,0
whatsoever,0
whattttt,0
who,0
whohate,0
why,0
wifi,0
wijayahandri,0
wilayah,0
willy,0
wir,0
wis,0
wishes,0
without,0
wjah,0
wkaka,0
wkt,0
wktu,0
wkwk,0
wkwkk,0
wkwkkw,0
wkwkw,0
wkwkwk,0
wkwkwkapok,0
wkwkwkwk,0
wkwkwkwkwk,0
wkwkwlah,0
wkwkwwkw,0
wni,0
woi,0
woiato,0
woiii,0
woijajan,0
wong,0
wongnilai,0
wooygmn,0
worth,5
wow,5
woy,0
wqwq,0
wrwb,0
wtf,0
wuhan,0
wuri,0
wuuuuzra,0
x,0
xxcuy,0
y,0
ya,0
yaa,0
yaaa,0
yaaaah,0
yaaamereja,0
yaaasdh,0
yaah,0
yaalahh,0
yaallah,0
yah,0
yaharus,0
yahhh,0
yaitu,0
yajadi,0
yak,0
yakan,0
yakepikiran,0
yakgilaa,0
yakin,0
yakk,0
yakok,0
yakuza,0
yampun,0
yang,0
yangvaombong,0
yaraka,0
yarrakabayles,0
yaseolah,0
yasoalnya,0
yasona,0
yassss,0
yatermasuk,0
yaudah,0
yayasan,0
ye,0
yee,0
yeee,0
yeeee,0
yeeeeeee,0
yeeeeeehh,0
yeeeeeyyyterkenal,0
yeekami,0
yes,0
yesss,0
yet,0
yg,0
ygy,0
yh,0
yiya,0
yo,0
yohanies,0
yok,0
yolong,0
yoooooo,0
yosana,0
you,0
younger,0
your,0
youre,0
youtube,0
yuk,0
yuksatu,0
yuniisharaaaaa,0
yusupalkausar,0
yutuber,0
yuukk,0
yuuuk,0
z,0
zaman,0
zamanmukarena,0
zehingga,0
zekolah,0
zera,0
zerta,0
zhrtlaini,0
zonasi,0
zulfanrnisa,0
